City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Puerto Madero,MX,14.7208,-92.4215,77.2,100,100,2.3,overcast clouds
259,Poya,NC,-21.35,165.15,77.4,62,43,3.0,scattered clouds
260,Paris,FR,48.8534,2.3488,62.11,84,0,2.3,clear sky
261,Bonthe,SL,7.5264,-12.505,77.76,87,58,6.11,light rain
262,Visby,SE,57.6409,18.296,68.83,82,6,8.05,clear sky
263,Urucara,BR,-2.5364,-57.76,74.62,92,99,1.1,overcast clouds
264,Aswan,EG,24.0934,32.907,81.77,21,0,9.31,clear sky
265,Krasnotorka,UA,48.682,37.5327,64.54,81,74,10.85,broken clouds
266,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,13.8,broken clouds
267,Santa,PH,17.486,120.4348,82.81,75,100,3.85,overcast clouds
268,Omsukchan,RU,62.5333,155.8,77.18,42,26,5.46,scattered clouds
269,Cabedelo,BR,-6.9811,-34.8339,74.07,89,15,13.42,few clouds
270,Ligayan,PH,4.6533,119.4706,82.56,72,90,3.98,overcast clouds
271,Merauke,ID,-8.4667,140.3333,81.95,80,69,11.03,broken clouds
272,Vondrozo,MG,-22.8167,47.2833,57.38,82,100,3.29,overcast clouds
273,Thio,NC,-21.6167,166.2167,80.56,67,26,11.03,scattered clouds
274,Gat,IL,31.61,34.7642,74.39,75,0,4.9,clear sky
275,Eyl,SO,7.9803,49.8164,80.38,62,100,32.35,overcast clouds
276,Le Port,RE,-20.9373,55.2919,69.26,60,6,5.7,clear sky
277,Lebu,CL,-37.6167,-73.65,51.75,93,97,5.86,overcast clouds
278,Cabrobo,BR,-8.5142,-39.31,71.78,78,0,17.45,clear sky
279,La Paz,BO,-16.5,-68.15,37.38,64,3,9.22,clear sky
280,Santa Marta,CO,11.2408,-74.199,82.45,78,40,10.36,scattered clouds
281,Radomsko,PL,51.0671,19.4448,63.52,72,1,7.94,clear sky
282,Severodvinsk,RU,64.5635,39.8302,48.31,75,39,10.71,scattered clouds
283,San Patricio,US,28.017,-97.5169,85.53,69,0,13.31,clear sky
284,Pangnirtung,CA,66.1451,-65.7125,39.88,99,100,2.62,light rain
285,Oktyabrskoye,RU,43.0645,44.7417,60.94,93,77,6.71,broken clouds
286,Saint-Georges,GD,12.0564,-61.7485,78.48,94,75,6.91,broken clouds
